country,iso,aluminum_us,aluminum_cn,antimony_us,antimony_cn,beryllium_us,beryllium_cn,bismuth_us,bismuth_cn,cadmium_us,cadmium_cn,chromium_us,chromium_cn,cobalt_us,cobalt_cn,copper_us,copper_cn,gold_us,gold_cn,steel_us,steel_cn,lead_us,lead_cn,lithium_us,lithium_cn,magnesium_us,magnesium_cn,manganese_us,manganese_cn,molybdenum_us,molybdenum_cn,graphite_us,graphite_cn,nickel_us,nickel_cn,niobium_us,niobium_cn,palladium_us,palladium_cn,platinum_us,platinum_cn,ree_us,ree_cn,rhodium_us,rhodium_cn,silver_us,silver_cn,tin_us,tin_cn,titanium_us,titanium_cn,tungsten_us,tungsten_cn,uranium_us,uranium_cn,zinc_us,zinc_cn,zirconium_us,zirconium_cn,beef_us,beef_cn,coffee_us,coffee_cn,maize_us,maize_cn,milk_us,milk_cn,palm_us,palm_cn,pork_us,pork_cn,poultry_us,poultry_cn,rice_us,rice_cn,soy_us,soy_cn,sugar_us,sugar_cn,wheat_us,wheat_cn,coal_us,coal_cn,gas_us,gas_cn,oil_us,oil_cn,trade_us,trade_cn,fdi_us,fdi_cn,student_out_us,student_in_us,student_out_cn,student_in_cn,aid_us,aid_cn,unga_us,unga_cn,arms_ex_us,arms_im_us,arms_ex_cn,arms_im_cn,mil_ex_us,mil_ex_cn
Oman,OMN,0.001,0.001,0,0,0,0,0,0,0,0,0.002,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.054,4315573173,19170991951,0,1585000000,17.75,1896.84,3,0,0,0,0.19,0.81,0.37,0,0,0,37,1
Pakistan,PAK,0,0,0,0.001,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.003,0,0,0.003,0,0,0,0,0,0,0,0,0,7073424211,17672139043,0,9635000000,0,5162.37,0,144,0.013,0.015,0.18,0.82,0.13,0,0.7,0,1,16
Panama,PAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,14140280227,8475106687,4491000000,503333333.3,0,1437.45,0,0.75,0.001,0,0.31,0.66,0,0,0,0,5,0
Papua New Guinea,PNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,359182952,2255187699,0,697500000,0,87.4,0,0,0.001,0.002,0.26,0.66,0,0,0,0,8,0
Paraguay,PRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,3608020205,1392828830,0,0,0,498.47,0,0,0.002,0,0.29,0.6,0,0,0,0,4,0
Peru,PER,0,0,0.01,0.003,0,0,0.019,0.001,0.014,0.02,0,0,0,0,0.007,0.013,0.06,0,0,0,0.012,0,0,0.001,0,0,0,0,0.147,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0,0.188,0,0,0,0.001,0,0,0,0.063,0.005,0,0,0,0,0.036,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,21992220785,15790067371,6945500000,4615000000,0,2650.92,0,4.75,0.002,0,0.28,0.73,0.03,0,0.02,0,4,0
Philippines,PHL,0,0,0,0,0.003,0,0,0,0,0,0.001,0.005,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.002,0,0,0,0,0,0,0,0,0,0.011,0.001,0,0,0,0.002,0,0,0,0,24348000000,45336335373,5876500000,2366666667,0,3006.18,0,50.25,0.002,0,0.24,0.78,0.41,0,0,0,12,3
Poland,POL,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0.009,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0.002,0,0,0.001,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,12334154774,17588675897,12365250000,260000000,753,1411.3,699,12.25,0,0,0.51,0.48,0.01,0.05,0,0,23,0
Portugal,PRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4996407142,4846497283,2020750000,1107500000,212.75,874.12,288,94.5,0,0,0.47,0.52,0.06,0,0,0,47,0
Qatar,QAT,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0,0.001,8846156786,8253128919,0,1023333333,194.5,1275.62,8.25,0,0,0,0.2,0.76,0.64,0,0,0,14,0
ROC,COG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,784196231,4829568266,0,2250000000,0,304.52,0.5,0.75,0.001,0.014,0.21,0.8,0,0,0,0,3,0
Romania,ROU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3468392640,4747248911,0,270000000,150.25,1215.94,89.25,5.5,0,0,0.49,0.5,0.09,0,0,0,4,0
